,Pair Identifier,Class,Head (m),Separation (km),Slope (%),Volume (GL),Energy (GWh),Storage time (h),Combined water to rock ratio, ,Upper Identifier,Upper elevation (m),Upper latitude,Upper longitude,Upper reservoir area (ha),Upper reservoir volume (GL),Upper dam height (m),Upper dam length (m),Upper dam volume (GL),Upper water to rock ratio, .1,Lower Identifier,Lower elevation (m),Lower latitude,Lower longitude,Lower reservoir area (ha),Lower reservoir volume (GL),Lower dam height (m),Lower dam length (m),Lower dam volume (GL),Lower water to rock ratio, .2,Combined water area (ha),Energy stoage MWh per ha, .3
20,s32_e151_RES92140 & s32_e151_RES95973,B,620,3.26,19,1.5,2,6,9, ,s32_e151_RES92140,1310,-31.6819,151.2494,33,1.5,4.2,805,0.06,25, ,s32_e151_RES95973,690,-31.7067,151.215,25,1.5,8.9,412,0.11,14, ,58,34, 
21,s38_e146_RES120833 & s38_e146_RES128505,B,776,4.7,17,1.3,2,6,8.2, ,s38_e146_RES120833,1220,-37.8175,146.2292,7,1.3,17.7,215,0.14,9, ,s38_e146_RES128505,444,-37.8606,146.2036,23,2.2,6.2,110,0.02,91.2, ,30,66, 
22,s17_e144_RES10097 & s17_e144_RES7501,B,660,2.91,23,1.4,2,6,5.1, ,s17_e144_RES10097,1050,-16.1392,144.9636,21,1.5,17,481,0.26,5.9, ,s17_e144_RES7501,390,-16.1056,144.9442,29,1.4,8.4,152,0.04,38.6, ,50,40, 
23,s22_e148_RES2180 & s22_e148_RES7716,C,790,6.39,12,1.1,2,6,12.3, ,s22_e148_RES2180,910,-21.0286,148.5883,20,1.3,13.1,117,0.05,23.6, ,s22_e148_RES7716,120,-21.0911,148.6353,28,1.1,5.2,265,0.04,25.6, ,48,41, 
24,s22_e148_RES7234 & s22_e148_RES11351,C,702,4.64,15,1.4,2,6,6.9, ,s22_e148_RES7234,872,-21.0869,148.5275,47,1.9,1.2,62,0,470.4, ,s22_e148_RES11351,170,-21.1386,148.5319,29,1.4,13.4,455,0.21,7, ,76,26, 
25,s22_e148_RES6753 & s22_e148_RES11320,C,723,6.43,11,1.3,2,6,5.2, ,s22_e148_RES6753,853,-21.0817,148.5194,24,1.3,16.3,208,0.12,11, ,s22_e148_RES11320,130,-21.1378,148.5675,35,1.3,8.7,691,0.13,9.7, ,59,33, 
26,s22_e148_RES5958 & s22_e148_RES10673,C,761,5.99,13,1.3,2,6,3.8, ,s22_e148_RES5958,891,-21.0744,148.54,18,1.3,12.5,150,0.07,19.1, ,s22_e148_RES10673,130,-21.1275,148.5756,19,1.3,12.4,1111,0.26,4.7, ,37,54, 
27,s22_e148_RES5266 & s22_e148_RES9259,C,779,3.78,21,1.2,2,6,2.2, ,s22_e148_RES5266,940,-21.0675,148.5606,16,1.2,9.9,601,0.1,12.3, ,s22_e148_RES9259,161,-21.1094,148.5711,10,1.2,17.8,599,0.48,2.6, ,26,76, 
28,s22_e148_RES3221 & s22_e148_RES11269,C,799,7.96,10,1.3,2,6,6.7, ,s22_e148_RES3221,920,-21.045,148.5717,29,1.5,8.3,117,0.02,61.6, ,s22_e148_RES11269,121,-21.1367,148.5831,46,1.3,6.2,1603,0.18,7.5, ,75,26, 
29,s22_e148_RES13188 & s22_e148_RES11430,C,690,4.46,15,1.4,2,6,2.5, ,s22_e148_RES13188,800,-21.1783,148.5617,16,1.4,24.2,837,0.38,3.6, ,s22_e148_RES11430,110,-21.1408,148.5997,47,1.5,6.7,1761,0.19,8.3, ,63,31, 
30,s22_e148_RES16017 & s22_e148_RES17550,C,521,4.93,11,1.8,2,6,8.2, ,s22_e148_RES16017,831,-21.2311,148.5511,59,4.4,12.4,121,0.05,93.7, ,s22_e148_RES17550,310,-21.2536,148.6125,26,1.8,19.1,294,0.2,8.9, ,85,23, 
31,s22_e148_RES12966 & s22_e148_RES11564,C,711,4.22,17,1.4,2,6,2.6, ,s22_e148_RES12966,821,-21.1739,148.5681,11,1.4,13.9,1131,0.38,3.5, ,s22_e148_RES11564,110,-21.1436,148.6019,42,1.4,4.1,1998,0.15,9.3, ,53,37, 
32,s20_e146_RES7260 & s20_e146_RES7575,C,531,2.57,21,1.8,2,6,3.6, ,s20_e146_RES7260,642,-19.3219,146.4481,20,1.8,21,722,0.32,5.7, ,s20_e146_RES7575,111,-19.3308,146.4819,32,1.9,10.6,597,0.18,10.1, ,52,38, 
33,s20_e146_RES15382 & s20_e146_RES15812,C,389,2.17,18,2.4,2,6,7.8, ,s20_e146_RES15382,550,-19.4303,146.5561,59,2.4,5.3,238,0.03,88.9, ,s20_e146_RES15812,161,-19.4372,146.5869,40,2.4,14.9,656,0.28,8.5, ,99,20, 
34,s42_e147_RES101888 & s42_e147_RES101791,C,666,4.68,14,1.4,2,6,4.8, ,s42_e147_RES101888,990,-41.995,147.1853,25,1.4,9,945,0.18,7.8, ,s42_e147_RES101791,324,-41.9939,147.2494,20,1.4,14.5,215,0.12,12.2, ,45,44, 
35,s42_e147_RES41535 & s42_e147_RES48591,C,731,7.17,10,1.3,2,6,7.7, ,s42_e147_RES41535,1011,-41.4,147.3897,44,1.3,8.6,648,0.09,14.2, ,s42_e147_RES48591,280,-41.4444,147.32,17,1.3,15.7,123,0.08,16.6, ,61,32, 
36,s42_e147_RES47815 & s42_e147_RES47551,C,433,2.1,21,2.3,2,6,5.7, ,s42_e147_RES47815,793,-41.4389,147.6861,37,2.3,13.9,355,0.12,18.2, ,s42_e147_RES47551,360,-41.4372,147.7186,29,2.3,11.4,710,0.28,8.3, ,66,30, 
37,s42_e147_RES28147 & s42_e147_RES27262,C,521,5.53,9,1.8,2,6,18.7, ,s42_e147_RES28147,761,-41.2953,147.2753,34,1.8,9.1,255,0.06,28.8, ,s42_e147_RES27262,240,-41.2889,147.1969,32,1.9,6.1,224,0.04,53.6, ,66,30, 
38,s42_e147_RES100859 & s42_e147_RES98000,C,719,6.25,12,1.3,2,6,4.7, ,s42_e147_RES100859,970,-41.9853,147.1689,30,1.4,8.8,960,0.14,10.1, ,s42_e147_RES98000,251,-41.9594,147.2511,22,1.3,11.2,592,0.15,8.7, ,52,38, 
39,s42_e147_RES33405 & s42_e147_RES27921,C,560,3.34,17,1.7,2,6,4.3, ,s42_e147_RES33405,851,-41.3389,147.6886,19,1.7,24.3,950,0.38,4.4, ,s42_e147_RES27921,291,-41.2931,147.6994,75,3,7.1,131,0.03,96.8, ,94,21, 
40,s42_e147_RES33137 & s42_e148_RES5034,C,529,3.9,14,1.8,2,6,6.3, ,s42_e147_RES33137,650,-41.3364,147.9717,15,1.8,17.9,517,0.28,6.3, ,s42_e148_RES5034,121,-41.2828,148.0425,429,29.9,3.5,108,0.01,3814.4, ,444,4, 
41,s36_e149_RES71114 & s36_e149_RES68805,C,650,5.87,11,1.4,2,6,7.6, ,s36_e149_RES71114,1340,-35.9533,149.0486,19,1.4,10.9,707,0.17,8.3, ,s36_e149_RES68805,690,-35.9214,149.1017,107,3.7,9.1,148,0.04,86.9, ,126,15, 
42,s36_e149_RES39827 & s36_e149_RES40768,C,590,5.83,10,1.6,2,6,10.5, ,s36_e149_RES39827,760,-35.6211,149.7183,46,1.6,8.8,207,0.06,26.5, ,s36_e149_RES40768,170,-35.6283,149.7925,36,1.6,6.5,652,0.09,17.3, ,82,24, 
43,s36_e149_RES31125 & s36_e150_RES14167,C,571,4.75,12,1.6,2,6,5, ,s36_e149_RES31125,701,-35.5283,149.9508,20,1.7,20.4,500,0.24,7.1, ,s36_e150_RES14167,130,-35.5519,150.0158,23,1.6,11.8,193,0.1,16.7, ,43,46, 
44,s37_e148_RES29407 & s37_e148_RES25579,C,616,5.74,11,1.5,2,6,5.9, ,s37_e148_RES29407,1200,-36.4914,148.0014,16,1.5,17.7,310,0.21,7.1, ,s37_e148_RES25579,584,-36.4442,148.0489,14,1.6,10.7,142,0.05,34.1, ,30,66, 
45,s35_e150_RES13785 & s35_e150_RES12179,C,547,3.08,18,1.7,2,6,5.3, ,s35_e150_RES13785,810,-34.3272,150.0242,17,1.7,12.8,184,0.06,28, ,s35_e150_RES12179,263,-34.3044,150.0558,16,1.8,22.9,205,0.27,6.6, ,33,60, 
46,s35_e150_RES36419 & s35_e150_RES37230,C,658,4.23,16,1.5,2,6,3.8, ,s35_e150_RES36419,691,-34.6247,150.7058,26,1.5,19.7,960,0.34,4.3, ,s35_e150_RES37230,33,-34.6389,150.7642,32,1.5,6.6,399,0.04,34.8, ,58,34, 
47,s35_e150_RES34646 & s35_e150_RES32837,C,540,2.94,18,1.7,2,6,5.9, ,s35_e150_RES34646,590,-34.6017,150.6664,31,1.7,6.9,1080,0.15,11.3, ,s35_e150_RES32837,50,-34.5756,150.7,35,1.7,8.9,659,0.13,12.6, ,66,30, 
48,s35_e150_RES35138 & s35_e150_RES32917,C,541,3.41,16,1.8,2,6,5.7, ,s35_e150_RES35138,581,-34.6075,150.6706,36,1.8,7.2,1233,0.19,9.6, ,s35_e150_RES32917,40,-34.5775,150.7083,42,1.8,8.1,630,0.12,14.4, ,78,25, 
49,s35_e150_RES36273 & s35_e150_RES39071,C,500,4,13,1.9,2,6,11.7, ,s35_e150_RES36273,631,-34.6222,150.5764,105,4.1,4.1,619,0.05,84.3, ,s35_e150_RES39071,131,-34.6644,150.6031,19,1.9,10.4,301,0.14,13.6, ,124,16, 
50,s35_e150_RES13147 & s35_e150_RES11438,C,621,3.55,17,1.5,2,6,2.9, ,s35_e150_RES13147,851,-34.3175,150.0272,14,1.5,27.1,491,0.52,3, ,s35_e150_RES11438,230,-34.2936,150.0725,27,1.5,6.3,82,0.02,86.6, ,41,48, 
51,s35_e150_RES32950 & s35_e150_RES32847,C,660,4.63,14,1.4,2,6,3.1, ,s35_e150_RES32950,720,-34.5783,150.6275,29,1.4,12,1120,0.26,5.4, ,s35_e150_RES32847,60,-34.5758,150.6906,20,1.5,14.4,608,0.21,7.1, ,49,40, 
52,s35_e150_RES39095 & s35_e150_RES41658,C,560,3.26,17,1.6,2,6,3.6, ,s35_e150_RES39095,650,-34.6647,150.4964,32,1.6,11.7,1388,0.27,6.1, ,s35_e150_RES41658,90,-34.6903,150.5311,38,1.7,10.3,678,0.2,8.9, ,70,28, 
53,s35_e150_RES38658 & s35_e150_RES42475,C,501,2.21,23,1.9,2,6,4, ,s35_e150_RES38658,601,-34.6594,150.5814,29,1.9,16.1,1652,0.39,4.8, ,s35_e150_RES42475,100,-34.6989,150.5981,37,1.9,5.8,323,0.07,26.5, ,66,30, 
54,s35_e150_RES35162 & s35_e150_RES32773,C,551,5.21,11,1.8,2,6,6.8, ,s35_e150_RES35162,581,-34.6078,150.6536,48,1.8,5.4,1298,0.11,16.2, ,s35_e150_RES32773,30,-34.5742,150.7231,42,1.8,8.2,850,0.16,11.7, ,90,22, 
55,s37_e149_RES45232 & s37_e149_RES44719,C,742,5.71,13,1.3,2,6,10.9, ,s37_e149_RES45232,962,-36.6217,149.4361,36,1.7,2.3,111,0.01,246.2, ,s37_e149_RES44719,220,-36.6153,149.5086,19,1.3,9.7,426,0.11,11.4, ,55,36, 
56,s37_e149_RES43920 & s37_e149_RES43744,C,680,3.3,21,1.4,2,6,2.8, ,s37_e149_RES43920,960,-36.6058,149.4431,15,1.4,17.9,365,0.26,5.4, ,s37_e149_RES43744,280,-36.6039,149.4869,17,1.4,13.6,507,0.23,6, ,32,62, 
57,s37_e149_RES62791 & s37_e149_RES66920,C,588,4.97,12,1.7,2,6,11.2, ,s37_e149_RES62791,830,-36.8578,149.4469,24,1.7,8.9,111,0.03,61.1, ,s37_e149_RES66920,242,-36.9117,149.4842,18,1.7,14.9,235,0.12,13.6, ,42,47, 
58,s37_e149_RES41200 & s37_e149_RES44334,C,761,6.77,11,1.3,2,6,5.1, ,s37_e149_RES41200,991,-36.5708,149.4364,17,1.3,13,254,0.11,11.8, ,s37_e149_RES44334,230,-36.6106,149.5028,20,1.3,14.5,489,0.14,9.1, ,37,54, 
59,s37_e149_RES38430 & s37_e149_RES42000,C,788,9.1,9,1.5,2,6,50.9, ,s37_e149_RES38430,1080,-36.5228,149.4722,36,1.9,2.4,204,0.01,160.4, ,s37_e149_RES42000,292,-36.5822,149.5558,22,1.5,6.3,111,0.02,74.6, ,58,34, 
60,s37_e149_RES46346 & s37_e149_RES47106,C,651,6.41,10,1.4,2,6,5.3, ,s37_e149_RES46346,892,-36.6342,149.4464,17,1.4,15.4,316,0.13,11.1, ,s37_e149_RES47106,241,-36.6425,149.5233,21,1.5,13.9,352,0.15,10.1, ,38,52, 
61,s37_e149_RES45880 & s37_e149_RES44455,C,710,6.79,10,1.3,2,6,8.3, ,s37_e149_RES45880,910,-36.6289,149.4467,17,1.3,7.9,866,0.13,10.5, ,s37_e149_RES44455,200,-36.6119,149.5417,47,1.7,6.5,377,0.04,40.2, ,64,31, 
62,s43_e147_RES64660 & s43_e147_RES60492,C,620,5.87,11,1.5,2,6,16.1, ,s43_e147_RES64660,710,-42.6681,147.0458,22,1.5,7.7,529,0.09,16.7, ,s43_e147_RES60492,90,-42.6328,147.1111,60,2,2.1,54,0,475.9, ,82,24, 
63,s43_e147_RES34 & s42_e147_RES101791,C,646,4.29,15,1.5,2,6,3.1, ,s43_e147_RES34,970,-42.0008,147.1889,18,1.5,17.9,576,0.34,4.3, ,s42_e147_RES101791,324,-41.9939,147.2494,20,1.5,14.7,215,0.13,11.6, ,38,52, 
64,s43_e147_RES65419 & s43_e147_RES63345,C,580,6.28,9,1.6,2,6,11.2, ,s43_e147_RES65419,660,-42.6742,147.0553,23,1.6,12.1,299,0.14,11.4, ,s43_e147_RES63345,80,-42.6564,147.135,56,1.7,2.5,54,0,573.7, ,79,25, 
65,s29_e152_RES66812 & s29_e152_RES68765,C,509,3.61,14,1.9,2,6,12.7, ,s29_e152_RES66812,800,-28.6614,152.1844,31,1.9,12.2,286,0.09,21.3, ,s29_e152_RES68765,291,-28.6761,152.2261,29,1.9,9.1,170,0.06,31.3, ,60,33, 
66,s29_e152_RES66188 & s29_e152_RES68331,C,610,4.05,15,1.5,2,6,5, ,s29_e152_RES66188,880,-28.6558,152.2064,20,1.5,10.3,1457,0.26,5.9, ,s29_e152_RES68331,270,-28.6728,152.2478,29,1.6,8,201,0.05,32.5, ,49,40, 
67,s29_e152_RES71847 & s29_e152_RES70466,C,580,6.71,9,1.7,2,6,13.5, ,s29_e152_RES71847,900,-28.7067,152.1286,43,1.7,8.7,491,0.09,19.2, ,s29_e152_RES70466,320,-28.6917,152.2053,25,1.7,10.8,85,0.04,46.1, ,68,29, 
68,s29_e152_RES31667 & s29_e152_RES31887,C,312,1.43,22,3,2,6,18.6, ,s29_e152_RES31667,863,-28.3164,152.3669,36,3,10.5,341,0.1,29.7, ,s29_e152_RES31887,551,-28.3194,152.3444,50,3,7.1,375,0.06,49.6, ,86,23, 
69,s29_e152_RES64605 & s29_e152_RES66372,C,560,4.47,13,1.7,2,6,8.5, ,s29_e152_RES64605,820,-28.6406,152.2053,18,1.7,13.7,688,0.18,9.4, ,s29_e152_RES66372,260,-28.6575,152.2597,54,1.9,4.3,270,0.02,81.3, ,72,27, 
70,s29_e152_RES72715 & s29_e152_RES73559,C,520,6.29,8,1.8,2,6,25.9, ,s29_e152_RES72715,911,-28.7158,152.1169,49,1.8,2.2,441,0.03,68.1, ,s29_e152_RES73559,391,-28.7236,152.1861,21,1.9,8.9,201,0.05,41.9, ,70,28, 
71,s33_e151_RES4817 & s32_e151_RES140315,C,772,4.32,18,1.3,2,6,2.3, ,s33_e151_RES4817,1132,-32.0339,151.1969,9,1.3,17.7,868,0.45,2.8, ,s32_e151_RES140315,360,-31.9894,151.1914,29,1.3,8.2,354,0.1,13.4, ,38,52, 
72,s21_e148_RES41668 & s21_e148_RES39862,C,519,3.65,14,1.8,2,6,15.3, ,s21_e148_RES41668,630,-20.8692,148.5728,29,1.9,10.7,270,0.08,22.9, ,s21_e148_RES39862,111,-20.8494,148.6136,37,1.8,8.6,146,0.04,46.5, ,66,30, 
73,s21_e148_RES28617 & s21_e148_RES28532,C,623,4.02,15,1.7,2,6,6.2, ,s21_e148_RES28617,713,-20.7192,148.4281,40,1.7,12.4,478,0.13,12.8, ,s21_e148_RES28532,90,-20.7181,148.4872,39,1.7,9.6,736,0.14,12.1, ,79,25, 
74,s21_e148_RES41032 & s21_e148_RES40050,C,527,1.78,30,1.8,2,6,4.1, ,s21_e148_RES41032,673,-20.8622,148.585,19,1.8,21.9,509,0.41,4.5, ,s21_e148_RES40050,146,-20.8517,148.6117,20,1.9,7.6,150,0.04,47.5, ,39,51, 
75,s21_e148_RES31185 & s21_e148_RES29814,C,590,4.69,13,1.6,2,6,9.6, ,s21_e148_RES31185,670,-20.7528,148.4489,33,1.6,12,214,0.09,18.7, ,s21_e148_RES29814,80,-20.7358,148.5022,48,1.7,6.3,711,0.09,19.9, ,81,24, 
76,s21_e148_RES31767 & s21_e148_RES30991,C,590,3.4,17,1.6,2,6,5, ,s21_e148_RES31767,680,-20.7606,148.4606,29,1.7,14.2,879,0.2,8.2, ,s21_e148_RES30991,90,-20.7506,148.5017,34,1.6,9.7,813,0.13,12.5, ,63,31, 
77,s21_e148_RES41431 & s21_e148_RES38464,C,602,2.95,20,1.6,2,6,3.2, ,s21_e148_RES41431,702,-20.8669,148.5914,14,1.6,15.9,869,0.43,3.7, ,s21_e148_RES38464,100,-20.8336,148.6122,39,1.8,9.2,352,0.07,24.4, ,53,37, 
78,s21_e148_RES33552 & s21_e148_RES31769,C,582,4.2,14,1.7,2,6,4.9, ,s21_e148_RES33552,682,-20.7786,148.4581,27,1.7,10.9,503,0.13,13, ,s21_e148_RES31769,100,-20.7606,148.5011,32,1.7,12.4,853,0.22,7.7, ,59,33, 
79,s21_e148_RES39051 & s21_e148_RES35752,C,590,4.21,14,1.6,2,6,3.9, ,s21_e148_RES39051,720,-20.8406,148.5481,15,1.6,21.6,301,0.29,5.3, ,s21_e148_RES35752,130,-20.8019,148.5758,30,1.7,10.8,719,0.12,13.9, ,45,44, 
80,s21_e148_RES22593 & s21_e148_RES21524,C,561,3.21,17,1.6,2,6,3.2, ,s21_e148_RES22593,671,-20.6389,148.3331,18,1.6,22.5,208,0.21,7.7, ,s21_e148_RES21524,110,-20.6206,148.3675,25,1.7,13.9,929,0.31,5.6, ,43,46, 
81,s21_e148_RES31164 & s21_e148_RES29039,C,580,6.35,9,1.6,2,6,10.7, ,s21_e148_RES31164,650,-20.7525,148.4408,27,1.7,13.9,416,0.1,16.1, ,s21_e148_RES29039,70,-20.7247,148.5081,49,1.6,3.9,569,0.05,32, ,76,26, 
82,s21_e148_RES35723 & s21_e148_RES32773,C,470,3.61,13,1.9,2,6,6.5, ,s21_e148_RES35723,560,-20.8017,148.5167,42,2,13.1,960,0.27,7.5, ,s21_e148_RES32773,90,-20.7711,148.5561,49,1.9,4.6,299,0.04,50.4, ,91,21, 
83,s38_e145_RES95381 & s38_e145_RES98522,C,510,3.95,13,1.9,2,6,12.8, ,s38_e145_RES95381,670,-37.9022,145.7922,19,2,15.2,141,0.1,20.1, ,s38_e145_RES98522,160,-37.9342,145.7461,16,1.9,10.2,153,0.05,35.5, ,35,57, 
84,s38_e145_RES43545 & s38_e145_RES33402,C,752,6.13,12,1.3,2,6,5.7, ,s38_e145_RES43545,1122,-37.3875,145.8303,15,1.5,4.4,135,0.02,93.6, ,s38_e145_RES33402,370,-37.3225,145.8614,11,1.3,20.3,240,0.22,6, ,26,76, 
85,s38_e145_RES50697 & s38_e145_RES60743,C,761,7.6,10,1.3,2,6,17.1, ,s38_e145_RES50697,1202,-37.4361,145.8053,20,2.4,2.4,80,0,662.2, ,s38_e145_RES60743,441,-37.5058,145.7778,14,1.3,11.5,197,0.07,17.6, ,34,58, 
86,s38_e145_RES49027 & s38_e145_RES42812,C,620,5.51,11,1.5,2,6,15.6, ,s38_e145_RES49027,900,-37.4261,145.6358,18,1.6,8.7,240,0.03,49.3, ,s38_e145_RES42812,280,-37.3819,145.6856,21,1.5,9.2,325,0.07,22.9, ,39,51, 
87,s38_e145_RES49658 & s38_e145_RES56427,C,793,7.43,11,1.2,2,6,7.6, ,s38_e145_RES49658,1133,-37.43,145.8256,29,1.4,0.2,25,0,1319, ,s38_e145_RES56427,340,-37.4753,145.7486,19,1.2,12.5,585,0.15,7.6, ,48,41, 
88,s38_e145_RES89272 & s38_e145_RES93190,C,500,2.97,17,1.9,2,6,5.6, ,s38_e145_RES89272,810,-37.8383,145.9072,16,2,18.7,276,0.25,7.8, ,s38_e145_RES93190,310,-37.8769,145.8983,25,1.9,10.7,497,0.1,20, ,41,48, 
89,s38_e145_RES46709 & s38_e146_RES49959,C,698,7.34,10,1.3,2,6,11.3, ,s38_e145_RES46709,1131,-37.4111,145.9289,12,1.3,8.7,142,0.04,37.3, ,s38_e146_RES49959,433,-37.4158,146.0211,15,1.4,13.1,173,0.09,16.1, ,27,74, 
90,s38_e145_RES41740 & s38_e145_RES34864,C,791,5.98,13,1.3,2,6,2.7, ,s38_e145_RES41740,1041,-37.3739,145.8067,14,1.3,18.3,412,0.27,4.7, ,s38_e145_RES34864,250,-37.3325,145.7375,25,1.3,9.6,695,0.2,6.5, ,39,51, 
